YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,TS,T2M_RANGE
2021,1,1,7.4,7.69,0.69,406.35,144.53,148.61,18.9,0.59,3.14,3.8,27.49,29.23,-266.42
2021,1,2,7.3,7.84,0.68,402.27,142.75,151.13,18.94,0.6,3.22,3.39,27.58,29.4,-266.1
2021,1,3,7.39,7.83,0.69,402.82,143.85,150.23,19.02,0.59,3.18,3.58,27.71,29.46,-266.12
2021,1,4,6.67,7.73,0.62,411.95,132.48,150.38,17.83,0.58,3.08,3.99,27.4,29.08,-267.18
2021,1,5,7.49,7.78,0.7,394.5,145.04,148.89,18.95,0.59,3.18,3.76,27.39,29.19,-266.03
2021,1,6,7.03,7.64,0.65,403.39,136.91,146.26,17.9,0.58,3.09,3.64,27.7,29.41,-265.65
2021,1,7,7.11,7.72,0.66,405.93,139.0,148.52,18.29,0.58,3.12,3.89,27.98,29.73,-266.15
2021,1,8,7.19,7.68,0.66,405.21,140.66,148.09,18.47,0.59,3.19,3.81,28.01,29.85,-266.92
2021,1,9,7.18,7.71,0.66,404.09,140.3,148.48,18.52,0.59,3.16,3.72,28.02,29.87,-265.99
2021,1,10,6.15,7.65,0.57,407.87,121.52,147.61,16.41,0.52,2.73,3.76,28.05,29.86,-266.35
2021,1,11,6.44,7.62,0.59,411.74,127.59,147.61,17.09,0.55,2.87,3.53,27.75,29.56,-266.65
2021,1,12,6.58,7.79,0.61,410.71,130.11,150.67,17.61,0.55,2.92,3.3,27.43,29.32,-266.41
2021,1,13,5.43,7.76,0.5,421.48,109.12,150.45,15.3,0.5,2.64,3.2,27.14,29.02,-266.6
2021,1,14,6.03,7.79,0.55,417.48,120.14,150.63,16.52,0.55,2.94,4.0,27.62,29.4,-266.77
2021,1,15,7.03,7.94,0.65,400.88,137.37,152.19,18.5,0.6,3.2,3.87,27.23,28.8,-267.74
2021,1,16,7.53,7.97,0.7,395.44,146.05,152.32,19.37,0.61,3.28,3.91,27.34,29.26,-265.88
2021,1,17,7.12,7.84,0.66,405.56,139.96,151.3,18.79,0.6,3.2,4.39,27.27,29.11,-266.67
2021,1,18,6.82,7.88,0.62,411.24,134.9,152.48,18.24,0.6,3.27,4.02,27.23,29.02,-266.83
2021,1,19,6.96,7.84,0.64,411.92,138.54,152.93,18.74,0.61,3.24,3.8,27.31,29.05,-266.69
2021,1,20,5.59,7.8,0.52,411.63,112.46,151.57,15.76,0.51,2.66,4.02,27.27,29.15,-266.57
2021,1,21,6.5,7.82,0.6,412.23,129.73,152.05,17.77,0.58,3.05,4.36,27.2,28.83,-267.48
2021,1,22,6.4,7.75,0.59,408.38,126.93,149.77,17.2,0.55,2.89,4.22,27.26,28.84,-266.84
2021,1,23,6.17,7.66,0.57,410.73,123.67,149.48,16.93,0.57,3.09,4.51,26.83,27.96,-268.42
2021,1,24,6.48,7.79,0.59,415.74,129.23,151.74,17.6,0.56,2.97,4.11,27.02,28.53,-267.13
2021,1,25,6.97,7.89,0.64,401.44,137.1,151.97,18.41,0.6,3.18,4.33,27.08,28.42,-267.95
2021,1,26,6.33,7.8,0.59,409.62,126.24,151.2,17.29,0.57,2.99,3.86,26.78,28.14,-267.77
2021,1,27,6.22,7.71,0.57,419.12,124.65,150.69,16.98,0.56,3.02,3.62,26.48,28.03,-267.49
2021,1,28,7.07,7.72,0.65,411.13,140.23,150.35,18.66,0.6,3.25,3.66,27.17,28.74,-266.81
2021,1,29,4.92,7.74,0.45,414.61,100.97,150.95,14.4,0.47,2.45,3.66,27.38,28.74,-267.14
2021,1,30,6.6,7.64,0.61,411.68,131.36,148.41,17.58,0.56,2.98,3.75,27.52,29.01,-266.8
2021,1,31,5.81,7.57,0.53,408.84,115.5,145.76,15.54,0.51,2.69,3.92,27.55,29.15,-266.77
2021,2,1,6.03,7.71,0.55,406.32,120.12,149.09,16.3,0.55,2.91,3.75,27.52,28.65,-267.35
2021,2,2,6.56,7.77,0.6,406.23,129.89,149.8,17.44,0.57,3.02,3.87,27.57,28.84,-267.04
2021,2,3,6.67,7.77,0.62,404.09,131.47,149.68,17.57,0.59,3.2,3.55,27.58,29.22,-266.26
2021,2,4,6.55,7.78,0.6,407.35,129.81,150.52,17.52,0.59,3.21,3.46,27.43,28.87,-266.69
2021,2,5,7.39,7.92,0.68,401.66,144.88,152.36,19.25,0.63,3.39,3.75,27.64,29.29,-265.87
2021,2,6,7.54,7.88,0.7,400.34,147.87,151.84,19.53,0.64,3.49,3.45,27.98,29.92,-265.44
2021,2,7,6.96,7.9,0.64,405.31,137.18,151.99,18.44,0.62,3.32,3.57,27.78,29.79,-265.35
2021,2,8,7.43,7.86,0.69,398.31,144.52,150.46,18.94,0.62,3.4,3.38,28.19,30.08,-265.56
2021,2,9,7.41,7.88,0.68,403.27,144.7,151.15,19.07,0.63,3.45,3.23,27.86,29.94,-265.32
2021,2,10,6.7,7.74,0.62,415.32,133.37,150.71,17.91,0.61,3.34,3.5,27.87,29.72,-266.29
2021,2,11,6.58,7.78,0.61,421.12,131.77,152.12,17.91,0.61,3.3,4.29,27.98,29.68,-267.21
2021,2,12,6.74,7.79,0.62,416.09,134.36,151.8,18.08,0.61,3.35,3.99,27.91,29.83,-266.52
2021,2,13,6.53,7.74,0.6,424.45,131.48,151.45,17.83,0.6,3.28,4.48,27.51,29.26,-266.67
2021,2,14,5.81,7.71,0.54,427.62,117.34,150.72,16.28,0.56,3.05,3.74,27.84,29.68,-265.67
2021,2,15,6.2,7.73,0.57,424.94,124.76,151.07,17.18,0.59,3.2,3.59,28.04,29.56,-266.17
2021,2,16,7.13,7.79,0.66,415.41,141.14,151.23,18.87,0.64,3.48,3.64,27.83,29.02,-267.17
2021,2,17,6.49,7.79,0.6,412.81,129.34,151.03,17.67,0.61,3.34,3.62,27.6,28.62,-266.92
2021,2,18,7.2,7.94,0.66,400.7,141.07,152.35,18.89,0.63,3.4,3.09,27.73,29.19,-265.22
2021,2,19,6.84,7.9,0.63,402.64,134.52,151.96,18.21,0.62,3.35,3.39,27.73,29.47,-264.46
2021,2,20,7.32,7.84,0.68,403.46,142.98,150.2,18.93,0.63,3.41,3.69,28.04,29.84,-265.87
